"name";"nickname";"wins";"losses";"draws";"height_cm";"weight_in_kg";"reach_in_cm";"stance";"date_of_birth";"significant_strikes_landed_per_minute";"significant_striking_accuracy";"significant_strikes_absorbed_per_minute";"significant_strike_defence";"average_takedowns_landed_per_15_minutes";"takedown_accuracy";"takedown_defense";"average_submissions_attempted_per_15_minutes";"performance_metric"
"Eryk Anders";"Ya Boi";15;8;0;185.42;83.91;190.5;"Southpaw";"1987-04-21";3.56;47.0;4.39;50.0;1.54;24.0;79.0;0.1;-30.2174
"Esteban Ribovics";"El Gringo";12;1;0;177.8;70.31;175.26;"Orthodox";"1996-04-27";6.16;52.0;3.4;52.0;0.95;66.0;60.0;0.5;6.07692
"Estevan Payan";"El Terrible";16;12;0;177.8;65.77;0.0;"Orthodox";"1982-03-14";4.25;42.0;3.58;57.0;0.36;100.0;60.0;0.4;-50.8571
"Eugene Jackson";"The Wolf";15;9;1;172.72;83.91;0.0;"Orthodox";"1966-09-23";2.19;33.0;3.44;32.0;1.91;71.0;16.0;2.3;-36.0
"Evan Dunham";"";18;9;1;177.8;70.31;177.8;"Southpaw";"1981-12-18";5.33;39.0;3.54;61.0;1.82;33.0;79.0;1.0;-33.4286
"Evan Elder";"The Phenom";8;2;0;177.8;70.31;182.88;"Switch";"1997-04-11";4.75;48.0;5.0;57.0;0.74;22.0;28.0;0.4;-3.6
"Evan Tanner";"";32;8;0;182.88;83.91;187.96;"Orthodox";"1971-02-11";3.05;59.0;2.64;56.0;2.55;43.0;25.0;1.3;-14.4
"Evangelista Santos";"Cyborg";21;18;0;177.8;77.11;193.04;"Orthodox";"1977-12-12";3.94;36.0;6.01;49.0;0.78;100.0;50.0;0.4;-78.6923
"Everett Cummings";"";12;0;0;0.0;92.99;0.0;"";"";0.43;60.0;4.34;45.0;0.0;0.0;0.0;2.2;12.0
"Everett Sims";"Sexual Chocolate";4;1;0;195.58;117.93;195.58;"Southpaw";"1988-09-04";0.81;66.0;2.19;30.0;0.0;0.0;42.0;1.2;-1.8
"Fabian Gonzalez";"";2;1;0;177.8;61.23;0.0;"";"";3.9;48.0;4.39;51.0;0.0;0.0;66.0;0.0;-3.66667
"Fabiano Iha";"";9;5;0;172.72;70.31;0.0;"Orthodox";"1970-07-28";1.73;47.0;2.49;42.0;2.88;40.0;50.0;2.9;-19.2143
"Fabio Maldonado";"Caipira de Aco";23;11;0;185.42;92.99;190.5;"Orthodox";"1980-03-17";5.29;58.0;4.31;53.0;0.44;57.0;61.0;0.6;-39.4412
"Fabio Nascimento";"Negao";11;6;0;177.8;83.91;0.0;"Orthodox";"";2.94;38.0;4.63;55.0;0.0;0.0;55.0;0.8;-22.8824
"Fabiola Pidroni";"The Queen";5;0;0;0.0;52.16;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0
"Fabricio Camoes";"Morango";14;9;1;177.8;70.31;180.34;"Orthodox";"1978-12-23";1.29;33.0;1.85;61.0;2.34;32.0;20.0;1.5;-36.8333
"Fabricio Werdum";"Vai Cavalo";24;9;1;193.04;104.78;195.58;"Orthodox";"1977-07-30";3.59;52.0;2.64;55.0;1.75;31.0;31.0;1.2;-28.0588
"Falaniko Vitale";"Niko";30;11;0;177.8;83.91;0.0;"Orthodox";"1974-07-14";1.88;49.0;3.68;47.0;0.72;33.0;86.0;0.0;-33.0488
