"name";"nickname";"wins";"losses";"draws";"height_cm";"weight_in_kg";"reach_in_cm";"stance";"date_of_birth";"significant_strikes_landed_per_minute";"significant_striking_accuracy";"significant_strikes_absorbed_per_minute";"significant_strike_defence";"average_takedowns_landed_per_15_minutes";"takedown_accuracy";"takedown_defense";"average_submissions_attempted_per_15_minutes";"performance_metric"
"Aaron Ely";"The Cyborg";5;2;0;172.72;61.23;0.0;"";"";0.82;15.0;0.66;69.0;2.47;100.0;50.0;4.9;-6.42857
"Aaron Phillips";"The Dragon";12;5;0;175.26;61.23;180.34;"Southpaw";"1989-08-05";1.51;53.0;3.66;43.0;0.86;50.0;44.0;0.6;-16.5294
"Aaron Riley";"";30;14;1;172.72;70.31;175.26;"Southpaw";"1980-12-09";3.45;34.0;3.78;61.0;1.18;34.0;60.0;0.1;-50.0
"Aaron Rosa";"";18;6;0;193.04;92.99;195.58;"Orthodox";"1983-05-28";4.03;47.0;4.41;45.0;0.36;33.0;85.0;0.4;-16.5
"Aaron Simpson";"A-Train";12;5;0;182.88;77.11;185.42;"Orthodox";"1974-07-20";3.6;52.0;2.53;56.0;3.78;34.0;83.0;0.5;-16.5294
"Abdul Razak Alhassan";"";12;6;0;177.8;83.91;185.42;"Orthodox";"1985-08-11";3.37;48.0;3.99;55.0;0.89;38.0;50.0;0.2;-22.0
"Abdul-Kerim Edilov";"";17;4;0;187.96;92.99;0.0;"Orthodox";"1991-11-25";10.22;61.0;0.13;92.0;3.98;100.0;0.0;2.0;-6.2381
"Abel Cullum";"The Silent Assassin";20;6;0;170.18;63.05;0.0;"Orthodox";"1987-04-21";1.82;40.0;1.23;46.0;4.01;52.0;0.0;2.8;-14.6154
"Abel Trujillo";"Killa";15;8;0;172.72;70.31;177.8;"Orthodox";"1983-09-18";2.65;41.0;2.31;59.0;2.18;45.0;40.0;0.4;-30.2174
"Abongo Humphrey";"";7;3;0;180.34;92.99;0.0;"Orthodox";"";1.45;40.0;3.83;46.0;1.41;37.0;33.0;3.8;-10.1
"Achmed Labasanov";"";7;4;0;190.5;97.52;0.0;"Orthodox";"1978-04-24";0.75;39.0;1.1;46.0;3.0;100.0;0.0;0.8;-15.5455
"Adam Antolin";"Captain Chaos";12;3;0;165.1;56.7;160.02;"Orthodox";"1982-02-28";5.73;52.0;5.0;69.0;0.0;0.0;100.0;0.0;-5.4
"Adam Cella";"El Naturel";6;8;0;187.96;77.11;0.0;"";"";1.91;42.0;2.61;51.0;3.92;75.0;50.0;1.3;-37.4286
"Adam Khaliev";"";6;0;0;182.88;77.11;0.0;"Orthodox";"1984-04-16";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0
"Adam Lynn";"";17;10;0;177.8;70.31;0.0;"Orthodox";"";1.47;63.0;6.95;10.0;0.0;0.0;50.0;0.0;-39.2963
"Adam Meredith";"";5;3;0;187.96;77.11;0.0;"";"";2.63;50.0;2.11;55.0;7.89;100.0;100.0;7.9;-11.875
"Adam Piccolotti";"";9;0;0;180.34;70.31;0.0;"";"";4.61;50.0;2.83;71.0;2.96;60.0;100.0;3.0;9.0
"Adam Wieczorek";"Siwy";10;2;0;195.58;113.4;205.74;"Orthodox";"1992-02-05";1.68;38.0;1.87;48.0;0.41;33.0;58.0;0.4;-1.66667
"Adam Yandiev";"Boroda";9;1;0;175.26;83.91;187.96;"Orthodox";"1988-08-07";0.18;8.0;6.14;36.0;0.0;0.0;25.0;0.0;3.1
"Adrian Yanez";"";16;5;0;170.18;61.23;177.8;"Orthodox";"1993-11-29";6.15;39.0;5.73;57.0;0.0;0.0;100.0;0.0;-12.8095
"Adriano Martins";"";28;9;0;177.8;70.31;182.88;"Southpaw";"1982-12-16";1.8;38.0;2.14;65.0;0.83;80.0;81.0;0.4;-23.8108
"Aisling Daly";"Ais the Bash";16;6;0;157.48;52.16;162.56;"Orthodox";"1987-12-24";2.92;52.0;1.4;55.0;2.15;41.0;33.0;0.9;-18.3636
"AJ Dobson";"";7;2;0;185.42;83.91;193.04;"Orthodox";"1992-01-18";4.38;47.0;5.25;47.0;1.82;75.0;64.0;0.3;-4.55556
"AJ Fletcher";"The Ghost";10;3;0;177.8;77.11;170.18;"Switch";"1997-02-18";3.36;49.0;4.61;46.0;1.54;35.0;33.0;0.9;-7.30769
"AJ McKee";"Mercenary";8;0;0;177.8;65.77;0.0;"";"";2.75;32.0;0.92;80.0;11.01;100.0;100.0;11.0;8.0
"AJ Siscoe";"Let's Go";1;2;0;170.18;61.23;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-9.66667
"Akbarh Arreola";"El Caballero";23;11;1;177.8;70.31;180.34;"Southpaw";"1983-01-14";2.32;45.0;4.01;56.0;1.07;100.0;33.0;0.4;-39.8857
"Akihiro Gono";"";35;21;8;170.18;77.11;172.72;"Switch";"1974-10-07";2.18;48.0;2.67;63.0;1.01;84.0;46.0;0.5;-85.8594
"Akira Shoji";"";14;17;5;172.72;88.45;0.0;"Orthodox";"1974-01-31";1.03;34.0;2.63;53.0;1.79;73.0;82.0;0.4;-79.5556
"Akitoshi Tamura";"The Ironman";21;18;2;175.26;61.23;177.8;"Orthodox";"1980-05-31";3.73;43.0;1.94;78.0;0.0;0.0;20.0;1.0;-79.2439
"Akiyo Nishiura";"Wicky Akiyo";13;8;1;172.72;63.05;0.0;"Southpaw";"1983-08-08";1.59;57.0;1.26;57.0;0.0;0.0;52.0;0.3;-32.3182
"Al Iaquinta";"Raging";14;7;1;177.8;70.31;177.8;"Orthodox";"1987-04-30";4.06;40.0;4.53;61.0;0.63;18.0;74.0;0.2;-26.0909
"Al Matavao";"Sweetness";8;3;0;172.72;92.99;170.18;"Orthodox";"1994-02-23";7.84;46.0;6.7;58.0;0.0;0.0;0.0;0.0;-9.18182
"Alan Belcher";"The Talent";18;8;0;187.96;83.91;190.5;"Orthodox";"1984-04-24";2.7;41.0;3.1;59.0;0.44;26.0;55.0;0.9;-27.5385
"Alan Jouban";"Brahma";17;7;0;182.88;77.11;185.42;"Southpaw";"1981-11-25";5.67;50.0;3.77;60.0;0.51;44.0;58.0;0.3;-22.9583
"Alan Omer";"";20;5;0;177.8;65.77;0.0;"Orthodox";"1988-09-14";3.49;55.0;2.21;64.0;1.69;42.0;66.0;0.0;-9.0
"Alan Patrick";"Nuguette";15;4;0;180.34;70.31;187.96;"Southpaw";"1983-07-19";1.82;40.0;2.95;43.0;3.01;33.0;43.0;0.3;-8.1579
"Albert Duraev";"";16;5;0;180.34;83.91;190.5;"Orthodox";"1989-01-05";2.99;40.0;3.01;59.0;1.97;29.0;66.0;0.6;-12.8095
"Albert Morales";"The Warrior";7;4;1;175.26;61.23;182.88;"Orthodox";"1991-05-25";3.81;35.0;3.96;56.0;0.91;35.0;70.0;0.2;-15.9167
"Alberto Crane";"";15;5;0;165.1;70.31;0.0;"Orthodox";"1976-07-14";0.43;25.0;2.61;57.0;0.0;0.0;50.0;4.0;-13.75
"Alberto Uda";"";12;2;0;190.5;83.91;0.0;"Orthodox";"1984-08-08";1.79;52.0;3.49;45.0;2.83;50.0;66.0;0.0;0.285714
"Alejandro Perez";"Turbo";23;9;1;167.64;61.23;170.18;"Orthodox";"1989-09-02";3.45;35.0;3.18;61.0;0.54;22.0;70.0;0.3;-28.9697
"Aleksandar Rakic";"";14;3;0;193.04;92.99;198.12;"Orthodox";"1992-02-06";4.01;50.0;2.3;53.0;0.82;25.0;90.0;0.2;-3.47059
"Aleksander Emelianenko";"";23;7;0;198.12;115.67;0.0;"Orthodox";"1981-08-02";2.75;41.0;1.7;65.0;2.32;72.0;66.0;0.9;-17.3667
"Aleksandra Albu";"Stitch";3;2;0;157.48;52.16;160.02;"Orthodox";"1990-07-14";4.83;47.0;5.56;38.0;2.27;50.0;77.0;0.4;-8.2
"Aleksei Oleinik";"The Boa Constrictor";60;17;1;187.96;108.86;203.2;"Orthodox";"1977-06-20";3.29;48.0;3.8;44.0;1.82;46.0;37.0;1.9;-38.8462
"Alen Amedovski";"";8;4;0;177.8;83.91;187.96;"Orthodox";"1988-04-06";0.99;30.0;3.85;46.0;0.0;0.0;0.0;0.0;-14.6667
"Alessio Sakara";"Legionarius";19;11;0;182.88;83.91;182.88;"Orthodox";"1981-09-02";3.96;47.0;2.8;59.0;2.18;78.0;62.0;0.0;-42.9667
"Alex Andrade";"El Toro";10;5;0;180.34;90.72;0.0;"Orthodox";"1974-05-14";0.2;36.0;2.6;53.0;0.0;0.0;25.0;0.8;-18.3333
"Alex Caceres";"Bruce Leeroy";21;14;0;177.8;65.77;185.42;"Southpaw";"1988-06-20";4.16;50.0;2.93;63.0;0.56;68.0;64.0;0.7;-57.4
"Alex Chambers";"Astro Girl";5;5;0;160.02;52.16;160.02;"Southpaw";"1978-10-25";2.97;54.0;5.1;50.0;2.31;41.0;53.0;1.0;-22.5
"Alex Da Silva";"Leko";21;4;0;172.72;70.31;185.42;"Orthodox";"1996-02-04";2.14;46.0;2.52;56.0;1.97;43.0;76.0;0.3;-2.36
"Alex Garcia";"The Dominican Nightmare";15;6;0;175.26;77.11;182.88;"Orthodox";"1987-07-14";1.81;31.0;3.03;59.0;3.72;52.0;66.0;0.1;-19.2857
"Alex Gilpin";"";11;1;0;170.18;65.77;0.0;"Orthodox";"1992-03-26";6.8;54.0;12.29;42.0;2.17;25.0;0.0;2.2;5.08333
"Alex Huddleston";"The Shaved Gorilla";6;2;0;200.66;115.21;0.0;"";"";2.47;42.0;2.59;67.0;0.0;0.0;0.0;0.9;-5.5
"Alex Hunter";"";2;0;0;175.26;102.51;0.0;"Orthodox";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
"Alex Karalexis";"The Assassin";10;6;0;172.72;70.31;167.64;"Orthodox";"1977-09-20";2.57;42.0;2.39;54.0;2.7;45.0;86.0;0.9;-23.75
"Alex Morono";"The Great White";23;9;0;180.34;77.11;182.88;"Orthodox";"1990-08-16";5.02;41.0;4.17;58.0;0.34;22.0;50.0;0.3;-28.4688
"Alex Nicholson";"The Spartan";7;4;0;193.04;83.91;195.58;"Orthodox";"1990-05-02";4.12;43.0;4.65;47.0;0.0;0.0;50.0;0.5;-15.5455
"Alex Oliveira";"Cowboy";22;12;1;180.34;77.11;193.04;"Orthodox";"1988-02-21";2.99;51.0;2.55;46.0;2.35;38.0;63.0;0.6;-46.1714
"Alex Pereira";"Poatan";9;2;0;193.04;92.99;200.66;"Orthodox";"1987-07-07";5.0;62.0;3.65;50.0;0.19;100.0;70.0;0.4;-2.63636
"Alex Perez";"";24;7;0;167.64;56.7;165.1;"Orthodox";"1992-03-21";4.67;48.0;3.14;60.0;2.84;44.0;77.0;1.3;-16.4194
"Alex Schoenauer";"";15;10;0;190.5;83.91;0.0;"Orthodox";"1976-05-05";1.22;40.0;2.27;42.0;0.0;0.0;22.0;4.9;-41.0
"Alex Serdyukov";"The Russian Crusher";8;5;0;187.96;77.11;187.96;"Orthodox";"1980-05-24";4.94;48.0;3.1;46.0;1.84;55.0;67.0;1.8;-20.0769
"Alex Stiebling";"The Brazilian Killa";19;11;1;187.96;92.99;0.0;"Southpaw";"";1.77;42.0;1.45;52.0;0.35;66.0;66.0;0.7;-43.3548
"Alex Torres";"Rolo";5;4;0;177.8;65.77;0.0;"Orthodox";"1988-05-29";2.47;37.0;2.73;69.0;2.0;22.0;50.0;0.0;-17.2222
"Alex White";"The Spartan";13;6;0;182.88;70.31;180.34;"Southpaw";"1988-10-22";3.76;42.0;3.07;60.0;0.92;28.0;71.0;0.5;-21.1053
"Alexa Grasso";"";16;3;1;165.1;56.7;167.64;"Orthodox";"1993-08-09";4.67;43.0;3.95;58.0;0.41;45.0;59.0;0.6;-2.2
"Alexander Gustafsson";"The Mauler";18;8;0;195.58;92.99;200.66;"Orthodox";"1987-01-15";4.03;40.0;3.53;51.0;1.53;39.0;83.0;0.4;-27.5385
"Alexander Hernandez";"The Great Ape";14;7;0;175.26;65.77;182.88;"Orthodox";"1992-10-01";4.63;41.0;4.9;56.0;1.2;31.0;60.0;0.1;-25.6667
"Alexander Otsuka";"The Diet Butcher";5;13;0;185.42;92.99;0.0;"Orthodox";"1971-07-17";0.9;55.0;1.16;51.0;1.51;43.0;53.0;0.8;-63.6111
"Alexander Volkanovski";"The Great";26;3;0;167.64;65.77;180.34;"Orthodox";"1988-09-29";6.19;57.0;3.42;58.0;1.84;37.0;70.0;0.2;8.31034
"Alexander Volkov";"Drago";37;10;0;200.66;113.4;203.2;"Orthodox";"1988-10-24";5.1;57.0;3.0;54.0;0.49;63.0;73.0;0.2;-20.8723
"Alexander Yakovlev";"Russian Thunder";24;10;1;190.5;70.31;187.96;"Southpaw";"1984-07-18";1.74;47.0;2.41;58.0;1.66;35.0;72.0;0.1;-33.5429
"Alexandr Romanov";"King Kong";17;2;0;187.96;118.84;190.5;"Southpaw";"1990-12-11";4.06;52.0;2.2;50.0;4.32;54.0;20.0;0.9;5.21053
"Alexandre Dantas";"Cafe";0;3;0;187.96;107.95;0.0;"Orthodox";"1979-03-01";0.21;25.0;1.87;60.0;0.0;0.0;0.0;3.1;-15.0
"Alexandre Ferreira";"Cacareco";18;6;0;170.18;92.99;0.0;"Orthodox";"1979-04-25";2.57;60.0;8.14;42.0;0.0;0.0;0.0;0.0;-16.5
"Alexandre Pantoja";"The Cannibal";26;5;0;165.1;56.7;170.18;"Orthodox";"1990-04-16";4.41;48.0;3.81;51.0;1.75;44.0;66.0;1.0;-3.19355
"Alexis Davis";"";21;11;0;167.64;61.23;172.72;"Orthodox";"1984-10-04";4.63;49.0;4.45;54.0;0.95;44.0;34.0;0.7;-41.2188
"Alfonso Alcarez";"";1;3;1;160.02;65.77;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-14.8
"Ali AlQaisi";"The Royal Fighter";8;5;0;167.64;61.23;172.72;"Orthodox";"1990-09-23";2.43;42.0;1.97;56.0;3.5;29.0;60.0;1.0;-20.0769
"Ali Bagautinov";"Puncher";15;6;0;162.56;56.7;165.1;"Orthodox";"1985-06-10";2.85;42.0;3.09;52.0;2.51;36.0;65.0;0.3;-19.2857
"Aliaskhab Khizriev";"Black Wolf";14;0;0;175.26;83.91;187.96;"Southpaw";"1990-08-24";6.03;64.0;4.36;62.0;5.77;60.0;100.0;3.9;14.0
"Alistair Overeem";"The Demolition Man";47;19;0;193.04;120.2;203.2;"Orthodox";"1980-05-17";3.67;64.0;2.44;57.0;1.42;55.0;73.0;0.8;-61.5303
"Aljamain Sterling";"Funk Master";23;4;0;170.18;61.23;180.34;"Orthodox";"1989-07-31";4.73;52.0;2.41;58.0;1.97;24.0;45.0;0.8;-0.407407
"Allan Begosso";"Mini";7;2;1;165.1;61.23;167.64;"Orthodox";"1995-11-23";1.8;40.0;7.73;34.0;0.0;0.0;25.0;2.0;-5.1
"Allan Goes";"";10;5;2;182.88;92.99;0.0;"Orthodox";"1971-04-20";0.64;52.0;1.35;41.0;1.75;40.0;0.0;2.6;-19.1176
"Allan Nascimento";"Puro Osso";20;6;0;172.72;56.7;175.26;"Orthodox";"1991-09-11";3.21;61.0;2.28;50.0;1.55;26.0;16.0;0.9;-14.6154
"Allan Zuniga";"Tigre";13;1;0;170.18;70.31;177.8;"Orthodox";"1992-04-04";3.93;52.0;1.8;61.0;0.0;0.0;57.0;1.0;7.07143
"Allen Berube";"Monstah Lobstah";4;3;0;172.72;70.31;0.0;"Orthodox";"1974-08-25";0.92;80.0;0.92;33.0;6.87;100.0;0.0;3.4;-12.7143
"Allen Crowder";"Pretty Boy";10;4;0;190.5;111.13;193.04;"Orthodox";"1989-11-08";2.95;51.0;2.95;56.0;1.85;33.0;100.0;1.2;-12.8571
"Alonzo Menifield";"Atomic";14;3;1;182.88;92.99;193.04;"Orthodox";"1987-10-18";3.82;57.0;3.09;52.0;0.62;30.0;75.0;0.3;-4.11111
"Alvaro Herrera Mendoza";"Chango";9;6;0;182.88;70.31;187.96;"Orthodox";"1990-05-14";1.89;38.0;3.4;55.0;0.0;0.0;33.0;1.1;-24.6
"Alvin Robinson";"";15;9;0;175.26;70.31;172.72;"Southpaw";"1982-07-16";1.57;50.0;1.29;51.0;1.24;50.0;25.0;1.2;-35.625
"Amanda Cooper";"ABC";3;5;0;160.02;52.16;162.56;"Switch";"1991-10-22";3.55;44.0;3.2;51.0;1.53;38.0;28.0;1.8;-23.875
"Amanda Lemos";"";13;3;1;162.56;52.16;165.1;"Southpaw";"1987-05-22";3.54;55.0;4.66;42.0;0.82;55.0;55.0;0.8;-5.05882
"Amanda Nunes";"The Lioness";23;5;0;172.72;61.23;175.26;"Orthodox";"1988-05-30";4.55;51.0;2.62;57.0;2.73;54.0;82.0;0.7;-6.10714
"Amanda Ribas";"";12;4;0;160.02;52.16;167.64;"Orthodox";"1993-08-26";4.92;42.0;3.33;63.0;1.99;51.0;87.0;0.8;-11.0
"Amar Suloev";"";24;7;0;175.26;83.01;0.0;"Orthodox";"1976-07-01";1.98;37.0;2.19;70.0;0.27;100.0;88.0;0.3;-16.4194
"Amir Albazi";"The Prince";17;1;0;165.1;56.7;172.72;"Orthodox";"1993-10-27";2.8;39.0;3.07;63.0;1.71;33.0;40.0;0.7;11.0556
"Amir Sadollah";"";6;5;0;177.8;77.11;190.5;"Orthodox";"1980-08-27";4.71;46.0;3.55;60.0;0.57;27.0;60.0;0.3;-21.7273
"Anatoly Tokov";"";25;2;0;177.8;83.91;0.0;"";"";3.51;72.0;0.54;66.0;2.03;100.0;100.0;0.0;13.1481
"Anderson Dos Santos";"Berinja";21;9;0;165.1;61.23;177.8;"Orthodox";"1985-07-24";2.7;25.0;5.37;49.0;0.98;14.0;66.0;0.7;-30.3
"Anderson Silva";"The Spider";34;11;0;187.96;83.91;195.58;"Southpaw";"1975-04-14";3.05;61.0;2.05;60.0;0.5;77.0;69.0;0.8;-29.3111
"Andre Ewell";"Mr. Highlight";17;9;0;172.72;65.77;190.5;"Southpaw";"1988-01-21";4.28;40.0;4.87;51.0;0.36;75.0;72.0;0.1;-33.8846
"Andre Fili";"Touchy";22;10;0;180.34;65.77;187.96;"Orthodox";"1990-06-25";3.83;37.0;4.13;51.0;2.22;47.0;69.0;0.3;-34.875
"Andre Galvao";"";5;2;0;170.18;76.2;0.0;"Orthodox";"1982-09-29";2.34;52.0;1.56;58.0;2.02;27.0;0.0;2.8;-6.42857
"Andre Muniz";"Sergipano";23;6;0;185.42;83.91;198.12;"Southpaw";"1990-02-17";2.17;50.0;2.03;53.0;2.97;40.0;35.0;1.5;-11.7586
"Andre Mussi";"";11;5;0;190.5;109.77;0.0;"Orthodox";"";0.0;0.0;10.59;35.0;0.0;0.0;0.0;0.0;-17.4375
"Andre Petroski";"";10;3;0;182.88;83.91;185.42;"Switch";"1991-06-12";3.61;51.0;3.03;51.0;4.48;54.0;71.0;2.5;-7.30769
"Andre Soukhamthath";"The Asian Sensation";13;8;0;175.26;61.23;177.8;"Orthodox";"1988-10-23";2.77;44.0;4.31;49.0;1.25;53.0;58.0;0.2;-31.9524
"Andre Walker";"";1;5;0;180.34;92.99;0.0;"Southpaw";"";2.28;31.0;4.36;34.0;0.0;0.0;0.0;0.0;-24.8333
"Andrea Lee";"KGB";13;8;0;167.64;56.7;175.26;"Orthodox";"1989-02-11";4.91;47.0;3.69;63.0;1.84;57.0;54.0;0.6;-31.9524
"Andrei Arlovski";"The Pitbull";34;22;0;190.5;108.86;195.58;"Orthodox";"1979-02-04";3.78;45.0;3.2;57.0;0.39;36.0;76.0;0.2;-89.3571
"Andrei Kopylov";"";6;11;0;187.96;120.2;0.0;"Orthodox";"1965-07-16";0.33;66.0;4.31;40.0;0.0;0.0;0.0;0.0;-52.8824
"Andrei Semenov";"";34;9;2;182.88;83.91;0.0;"Orthodox";"1977-06-17";0.78;15.0;2.44;60.0;1.74;80.0;55.0;0.4;-19.3111
"Andrew Holbrook";"";12;3;0;180.34;70.31;177.8;"Southpaw";"1986-02-06";2.2;49.0;3.0;54.0;0.85;18.0;10.0;2.1;-5.4
"Andrew Valladerez";"";5;7;0;0.0;61.23;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-32.9167
"Andrews Nakahara";"";5;4;2;185.42;83.91;0.0;"Orthodox";"1983-03-12";2.68;44.0;1.9;57.0;0.0;0.0;72.0;0.4;-17.7273
"Andy Anderson";"The Hammer";0;1;0;167.64;108.86;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-5.0
"Andy Ogle";"The Little Axe";9;6;0;172.72;65.77;175.26;"Orthodox";"1989-02-16";2.24;44.0;2.23;50.0;1.44;26.0;58.0;0.0;-24.6
"Ange Loosa";"The Last Ninja";10;3;0;177.8;77.11;187.96;"Orthodox";"1993-03-18";6.32;46.0;6.88;51.0;2.25;45.0;100.0;0.2;-7.30769
"Angela Hill";"Overkill";16;13;0;160.02;52.16;162.56;"Orthodox";"1985-01-12";5.44;50.0;4.94;61.0;0.73;34.0;75.0;0.1;-56.1724
"Angela Magana";"Your Majesty";11;9;0;154.94;52.16;165.1;"Orthodox";"1983-08-02";1.53;28.0;4.92;42.0;0.4;25.0;28.0;0.4;-38.95
"Angelo Trevino";"Baby Monsta";7;3;0;180.34;77.11;0.0;"Switch";"1993-06-10";5.19;54.0;3.9;47.0;0.0;0.0;100.0;0.0;-10.1
"Anna Elmose";"Panda";3;2;0;160.02;52.16;0.0;"Orthodox";"1984-10-06";3.68;49.0;4.64;56.0;0.0;0.0;33.0;0.0;-8.2
"Ansar Chalangov";"";14;5;0;175.26;77.11;0.0;"Orthodox";"1979-10-30";0.68;66.0;1.69;54.0;0.0;0.0;0.0;7.6;-14.6842
"Anshul Jubli";"King of Lions";7;1;0;182.88;70.31;175.26;"Switch";"1995-01-13";6.48;46.0;5.61;51.0;0.82;18.0;63.0;0.4;1.125
"Anthony Birchak";"El Toro";16;8;0;172.72;61.23;175.26;"Orthodox";"1986-05-16";3.93;36.0;3.67;56.0;0.48;14.0;61.0;0.5;-29.3333
"Anthony Hernandez";"Fluffy";11;2;0;182.88;83.91;190.5;"Orthodox";"1993-10-18";4.33;62.0;3.36;46.0;6.79;57.0;63.0;2.9;-0.692308
"Anthony Johnson";"Rumble";22;6;0;187.96;92.99;198.12;"Orthodox";"1984-03-06";3.25;47.0;1.83;60.0;2.43;57.0;77.0;0.6;-12.7143
"Anthony Leone";"";15;8;0;167.64;61.23;0.0;"Orthodox";"1987-05-27";1.94;53.0;2.52;56.0;1.72;18.0;0.0;0.0;-30.2174
"Anthony Morrison";"Cheesesteak";20;12;0;170.18;65.77;0.0;"Orthodox";"1984-03-29";1.7;33.0;0.49;80.0;0.0;0.0;50.0;0.0;-47.5
"Anthony Njokuani";"The Assassin";16;12;0;185.42;70.31;190.5;"Orthodox";"1980-03-01";3.94;46.0;2.41;65.0;0.5;45.0;53.0;0.2;-50.8571
"Anthony Perosh";"The Hippo";15;10;0;190.5;92.99;190.5;"Orthodox";"1972-10-05";2.27;43.0;3.77;53.0;2.03;22.0;33.0;1.1;-41.0
"Anthony Pettis";"Showtime";24;10;0;177.8;70.31;182.88;"Orthodox";"1987-01-27";3.05;47.0;3.44;54.0;0.61;50.0;60.0;1.1;-33.0588
"Anthony Rocco Martin";"";17;6;0;182.88;77.11;185.42;"Orthodox";"1989-12-11";2.68;37.0;2.59;58.0;0.71;27.0;68.0;1.0;-17.4348
"Anthony Smith";"Lionheart";37;18;0;193.04;92.99;193.04;"Orthodox";"1988-07-26";3.16;48.0;4.45;46.0;0.52;28.0;48.0;0.7;-65.1091
"Anthony Taylor";"Pretty Boy";1;3;0;170.18;65.77;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-14.75
"Anthony Torres";"The Crush";5;3;0;172.72;77.11;0.0;"Orthodox";"1978-07-31";3.54;48.0;7.52;45.0;0.0;0.0;100.0;2.2;-11.875
"Anton Berzin";"The Body Snatcher";5;1;0;187.96;92.99;0.0;"Orthodox";"1989-09-29";4.4;46.0;6.8;67.0;2.0;28.0;0.0;1.0;-0.833333
"Anton Kuivanen";"";24;10;0;172.72;70.31;182.88;"Orthodox";"1984-05-01";2.27;38.0;1.63;67.0;1.2;100.0;71.0;0.4;-33.0588
"Antoni Hardonk";"";8;6;0;193.04;111.13;198.12;"Orthodox";"1976-02-05";3.4;61.0;3.07;46.0;0.0;0.0;40.0;0.9;-25.4286
"Antonina Shevchenko";"La Pantera";10;4;0;172.72;56.7;170.18;"Southpaw";"1984-11-20";3.86;55.0;2.93;52.0;0.43;42.0;53.0;0.4;-12.8571
"Antonio Arroyo";"";9;5;0;190.5;83.91;185.42;"Orthodox";"1989-07-01";2.82;66.0;2.02;50.0;1.14;41.0;41.0;0.2;-19.2143
"Antonio Banuelos";"";20;11;1;165.1;61.23;160.02;"Orthodox";"1979-09-23";2.69;33.0;3.15;58.0;1.62;62.0;86.0;0.4;-42.5
"Antonio Braga Neto";"";9;3;0;190.5;83.91;195.58;"Orthodox";"1987-10-29";1.36;33.0;3.92;45.0;3.07;37.0;0.0;0.5;-8.25
"Antonio Carlos Junior";"Cara de Sapato";11;5;0;187.96;83.91;200.66;"Orthodox";"1990-03-16";1.95;42.0;2.14;52.0;3.42;39.0;53.0;0.8;-17.4375
"Antonio McKee";"Mandingo";29;6;2;172.72;70.31;0.0;"Southpaw";"1970-03-12";1.37;45.0;0.74;74.0;1.47;33.0;57.0;0.0;-7.27027
"Antonio Rodrigo Nogueira";"Minotauro";34;10;1;190.5;108.86;195.58;"Orthodox";"1976-06-02";1.95;42.0;2.4;55.0;1.3;29.0;36.0;2.4;-24.3111
"Antonio Schembri";"Nino";5;5;0;175.26;92.99;0.0;"Orthodox";"1974-06-01";0.72;26.0;2.12;55.0;1.31;40.0;0.0;0.4;-22.5
"Antonio Silva";"Bigfoot";19;12;1;193.04;119.75;208.28;"Orthodox";"1979-09-14";2.89;45.0;3.09;50.0;0.82;29.0;66.0;0.8;-48.7188
"Antonio Trocoli";"Malvado";12;3;0;195.58;92.99;208.28;"Orthodox";"1990-12-06";1.27;71.0;4.56;25.0;3.8;100.0;100.0;3.8;-5.4
"Antwain Britt";"The Juggernaut";11;6;0;185.42;92.99;195.58;"";"";1.46;39.0;2.81;44.0;1.56;40.0;50.0;0.0;-22.8824
"Anvar Boynazarov";"The Uzbek";3;1;0;175.26;65.77;0.0;"Orthodox";"1989-01-10";0.0;0.0;7.83;29.0;0.0;0.0;0.0;0.0;-2.75
"Ariane Carnelossi";"Sorriso";14;3;0;157.48;52.16;154.94;"Orthodox";"1992-11-17";3.04;40.0;4.72;43.0;1.62;55.0;8.0;0.3;-3.47059
"Ariane Lipski";"Queen of Violence";16;8;0;167.64;56.7;170.18;"Orthodox";"1994-01-26";3.94;39.0;4.2;51.0;0.54;50.0;78.0;0.3;-29.3333
"Arlene Blencowe";"Angerfist";9;6;0;165.1;65.77;0.0;"";"";2.31;43.0;2.1;43.0;0.0;0.0;55.0;0.6;-24.6
"Arman Ashimov";"Mustafa Ozturik";11;3;1;167.64;56.7;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-6.93333
"Armando Villarreal";"La Lumbre";5;2;0;170.18;61.23;167.64;"Southpaw";"1989-08-08";3.23;55.0;4.3;52.0;3.23;25.0;0.0;0.0;-6.42857
"Armen Petrosyan";"Superman";9;2;0;190.5;83.91;180.34;"Orthodox";"1990-11-02";5.97;52.0;3.03;56.0;0.23;33.0;36.0;0.0;-2.63636
"Arnold Allen";"Almighty";19;2;0;172.72;65.77;177.8;"Southpaw";"1994-01-22";3.34;40.0;2.86;61.0;1.12;50.0;76.0;0.3;7.19048
